"","NMDS1","NMDS2","Key","PrePost","Date","Location","Site","Transect","Achilles.tang","Agile.chromis","Amber.jack","Arc.eye.hawk.fish","Barred.filefish","Belted.wrasse","Big.eye.emperor.or.Mu","Bird.nose.wrasse","Black.kole.or.black.surgeonfish","Blackfin.chromis","Blacktailed.snapper","Blue.eyed.damsel","Blue.goatfish","Bluefin.trevally","Blueline.surgeonfish","Bluelined.butterfly","Bluelined.snapper","Bluespine.unicornfish","Box.fish","Bridled.triggerfish","Bullethead.parrotfish","Chocolate.dip.chromis","Chub.or.Rudderfish","Convict.tang","Cornetfish","Doublebar.goatfish","Elegant.wrasse","Eyestripe.surgeon","Forcep.butterfly","forktail.snapper","Forsteri.hawkfish","four.spot.butterfly","Goldrim.surgeonfish","Gray.Chub","Hawaiian.cleaner.wrasse","Hawaiian.dascyllus","Hawaiian.sergeant.major","Kole.tang","Lavender.brown.tang","Lei.trigger","Lined.butterfly","Manybar.goatfish","Milletseed.butterflyfish","Moorish.Idol","Multiband.butterfly","Niger.trigger","Orangeshoulder.tang","Orangespine.unicornfish","Ornate.butterfly.fish","Ornate.wrasse","Oval.butterfly","Pacific.gregory","Palenose.parrofish","Pinktail.trigger","Porcupinefish","Raccoon.butterflyfish","Redlip.parrotfish","Regal.parrotfish","Ringtail.surgeonfish","Ringtail.wrasse","Rockmover.wrasse","Roi.or.Peacock.grouper","round.scad","Saddle.wrasse","Sailfin.tang","Sidespot.goatfish","Soldier.fish","Spectacled.parrotfish","star.eyed.parrotfish","Surge.wrasse","Teardrop.butterfly","Threadfin.butterflyfish","Trumpetfish","white.freckled.surgeonfish","Whitebar.surgeonfish","whitespot.puffer","Whitespotted.toby","Yellow.tang","yellowfin.goatfish","Yellowstripe.goatfish","Yellowtail.coris"
"23",-0.61284170627332,-0.155336274613977,"4T1","Pre","2012","Old Kona","4","T1",1,0,7,0,0,0,0,7,0,150,0,0,1,0,0,0,0,3,0,0,11,0,1,1,0,0,0,5,10,0,0,0,0,0,0,0,5,31,63,0,0,5,0,8,0,7,1,5,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,8,0,1,0,0,87,0,0,156,0,0,1
"24",-0.0891930251980873,0.17114631470627,"1T1","Pre","2012","Puako","1","T1",0,0,29,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,0,1,0,0,3,0,0,1,0,0,0,0,10,18,54,0,0,1,0,0,3,6,0,0,1,0,2,13,0,4,0,0,0,0,0,1,0,0,0,6,3,0,0,3,0,6,0,0,1,0,0,0,0,84,0,0,5
"25",0.181369261889999,0.536352213251808,"2T1","Pre","2012","Puako","2","T1",0,7,0,2,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,2,14,6,0,2,0,0,0,0,4,0,1,0,0,0,0,0,23,29,2,1,0,2,0,0,5,0,0,5,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,57,0,0,0
"26",0.968061555742081,0.270050247439948,"5T1","Pre","2012","Puako","5","T1",0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,14,4,1,0,2,0,1,0,0,7,9,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,5,0,1,0,1,0,3,0,1,0,0,0,0,0,17,0,0,1
"27",0.695193648367766,-0.129246635793952,"6T1","Post","2013","Mahukona","6","T1",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,25,2,0,3,0,1,3,0,1,1,6,0,2,1,0,5,0,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,9,0,15,0
"28",0.643424782350036,-0.210952862433204,"7T1","Post","2013","Mahukona","7","T1",0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,28,4,0,5,0,0,2,0,7,7,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,7,0
"29",-1.00746912492776,-0.352573727037695,"3T1","Post","2013","Old Kona","3","T1",1,0,0,1,0,1,0,2,0,700,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,2,0,0,4,0,0,4,1,0,0,0,0,54,91,4,0,4,0,0,2,6,6,8,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,89,0,0,5
"30",-0.977753726616128,-0.133745382263623,"4T1","Post","2013","Old Kona","4","T1",2,0,0,2,0,0,0,4,0,290,0,0,2,0,0,0,0,3,0,0,11,0,0,5,0,1,0,2,6,1,0,2,37,0,1,0,14,28,225,1,0,0,0,9,0,14,11,8,2,2,0,2,7,2,0,5,4,0,1,0,0,1,0,15,1,0,0,0,1,0,0,0,0,0,5,0,0,220,0,0,0
"31",0.121371485017398,0.546581415228055,"1T1","Post","2013","Puako","1","T1",0,37,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,6,0,0,7,8,0,0,0,5,26,5,4,0,0,0,1,4,9,0,3,5,0,0,1,0,6,0,0,0,0,0,1,0,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,64,0,0,1
"32",-0.37826946966886,0.808830210479271,"2T1","Post","2013","Puako","2","T1",0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,12,0,1,1,0,0,0,0,200,31,0,3,0,4,0,1,5,31,11,9,3,0,0,0,13,2,0,3,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
